Strategy Name,Strategy Description,How it works,TF1,TF2,TF3,Symb1,Symb2,Symb3
EMA/RSI Combined,Weighted multi-factor EMA and RSI scoring system — enters when enough signals agree,"Six signals scored: EMA21/50 crossover (25%), price vs EMA21 (20%), price vs EMA50 (15%), RSI gradient (20%), EMA21 momentum (10%), recent candle bias (10%). Long when score >60%; Short when score <40%.",5min,15min,1hr,MES,MNQ,Gold
Multi-Confluence Engine,Nine-indicator all-or-nothing commodity trend engine — every condition must align before entry,"Combines Ichimoku Cloud (9/26/52), EMA21/50, MACD (8/17/9), Stochastic RSI (14), and DMI/ADX (14). All nine long or all nine short conditions must align simultaneously. SL = min(1.5×ATR, Ichimoku cloud edge); TP = 2:1 R:R. Volume gate: current bar must be ≥1.2× 20-bar average.",5min,15min,1hr,Oil,Gold,MES
BB Squeeze Scalper,Dual-mode Bollinger Band scalper — breakout mode when bands are compressed; mean-reversion mode when bands are wide,"Mode A (Squeeze Breakout): BBW below its 20-bar SMA for ≥3 bars then close breaks the band; EMA5 slope and RSI7 confirm direction — momentum trade in breakout direction. Mode B (Band Bounce): BBW above SMA; %B outside 0–1 with RSI7 extreme; rejection wick >60% of bar range — fade back to midband. TP=0.4%, SL=0.2% (2:1 R:R).",1min,,,MES,MNQ,
LULT Divergence,WaveTrend momentum-price divergence strategy on Nasdaq — 6-step confirmation gate with partial-TP management,"Simulates Market Cipher B WaveTrend oscillator (WT1/WT2). Requires: (1) anchor wave breaches ±60; (2) shallower subsequent trigger wave in same direction; (3) price diverges in the opposite direction (hidden divergence); (4) WT1 crosses WT2 (dot signal); (5) engulfing candle confirms within window. Entry on bar after step 5. Partial TP at nearest swing high/low then SL moves to breakeven. Time-filtered 11:00–17:00 UTC.",5min,,,MNQ,,
VIDYA Cross,Variable Index Dynamic Average crossover — trend-following with self-adjusting speed,"VIDYA adapts its smoothing alpha by multiplying the EMA alpha by |CMO/100| so the line accelerates during strong trends and barely moves during chop. Long when price crosses above VIDYA; Short when price crosses below. IndicatorPeriod = EMA length (default 14); SecondaryPeriod = CMO period (default 9).",15min,30min,1hr,MES,Gold,Oil
Naked Trader,Four-vote consensus trend strategy — requires majority agreement across independent indicators,"Runs four independent votes: EMA(9/21) alignment, MACD(8/17/9) histogram direction, DMI/ADX(14) trend strength, and VWAP position. Long when ≥3 votes agree Up with Medium/High confidence; Short when ≥3 votes agree Down. Minimum 28 bars required.",5min,15min,,MES,MNQ,
Double Bubble Butt,Dual Bollinger Band zone strategy — trades trends inside the outer band; exits on mean reversion,"Two BB sets over SMA(20): inner at 1.0 SD and outer at 2.0 SD create three zones. Buy Zone: price closes above upper 1.0 SD band → Long. Sell Zone: price closes below lower 1.0 SD band → Short. Neutral Zone (inside 1.0 SD bands) → exit signal. Hard SL = outer 2.0 SD band at entry; TP = 2×ATR(20) from entry.",15min,1hr,5min,Gold,Oil,MES
Opening Range Breakout,Session open momentum breakout — trades the first directional move away from the 30-minute opening range,"First 30 minutes of the regular session define the opening range high and low. Long when a bar closes above the OR high with volume ≥1.2× 20-bar average; Short when it closes below OR low with volume gate. SL = opposite OR extreme; TP = 1.5× OR width. No-trade filters: OR width >2×ATR(14) or past the session midpoint.",5min,15min,,MNQ,MES,Gold
Pump-n-Dump,Simple 3-bar momentum continuation — fires on three consecutive bars closing in the same direction,"Long when the last 3 consecutive 1-minute bars all close above their open (3 green bars — momentum pump). Short when the last 3 consecutive bars all close below their open (3 red bars — momentum dump). SL and TP are ATR-based (SlAtrMultiple / TpAtrMultiple from configuration).",1min,5min,,MNQ,MES,Oil
VWAP Mean Reversion,Institutional midday mean-reversion strategy — fades extreme moves away from session VWAP,"Session-anchored VWAP ± 1.5 SD and ± 2.0 SD define reversion zones. Long when close ≤ VWAP − 1.5 SD (oversold vs institutional average cost); Short when close ≥ VWAP + 1.5 SD. Exit target = VWAP; SL beyond the 2.0 SD band. Time filter: 10:00–14:00 ET only (midday chop window). Academic win rate 60–65%; small average winner.",5min,15min,,MES,MNQ,
3-EMA Cascade (Sniper),Three-EMA pyramid scalper on 1-minute bars — scales into winning trades up to 10 contracts,"EMA8 / EMA21 / EMA50 on 1-minute bars. Long when EMA8 crosses above EMA21 AND price is above rising EMA50. Short when EMA8 crosses below EMA21 AND price is below falling EMA50. Supports pyramiding scale-in up to 10 contracts on each subsequent EMA8/EMA21 cross in the same direction. Live engine only (Sniper view).",1min,,,MES,MNQ,
